genre,title,director,cast,country,published_at,release_year,rating,duration,listed_in,description
TV Show,72 Dangerous Places to Live,,Mitch Ryan,Australia,1-Jun-16,2016,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths."
TV Show,7SEEDS,,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi, Kana Asumi, Akira Ishida, Aoi Yuki, Kazuhiko Inoue, Yoko Hikasa, Hirofumi Nojima, Ryotaro Okiayu, Eri Kitamura, Mamiko Noto, Ryo Hirohashi, Shizuka Ito, Hisao Egawa, Mayumi Asano, Kenta Miyake, Ai Kakuma, Kaito Ishikawa, Mikako Komatsu, Daisuke Sakaguchi, Takanori Hoshino, Kenjiro Tsuda, Nozomu Sasaki, Kenji Nojima, Houko Kuwashima, Kensho Ono, Takahiro Sakurai, Haruka Chisuga, Yu Shimamura, Takuma Terashima, Takuya Sato, Junko Minagawa, Masashi Sugawara, Sho Hayami, Kazuyuki Okitsu, Minako Kotobuki",,26-Mar-20,2020,TV-MA,2 Seasons,"Anime Series, International TV Shows","Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth."
TV Show,9 Months That Made You,,Demetri Goritsas,United States,1-Mar-17,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life."
Movie,90 ML,Anita Udeep,"Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan",India,13-Aug-19,2019,TV-MA,123 min,"Comedies, International Movies, Music & Musicals",Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
Movie,93 Days,Steve Gukas,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,5-Mar-20,2016,TV-PG,121 min,"Dramas, International Movies, Thrillers",Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.
Movie,A 2nd Chance,Clay Glen,"Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou",Australia,1-Jul-17,2011,PG,95 min,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team."
Movie,A 3 Minute Hug,Everardo González,,"Mexico, United States",28-Oct-19,2019,TV-PG,28 min,"Documentaries, International Movies",This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.
Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,15-Oct-20,2020,TV-PG,99 min,Children & Family Movies,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween."
Movie,A Bad Moms Christmas,"Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon, Christine Baranski, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley","United States, China",14-Feb-20,2017,R,104 min,Comedies,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit."
Movie,A Beautiful Life,Andrew Lau Wai-Keung,"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",1-Dec-18,2011,TV-14,122 min,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives."
Movie,A Billion Colour Story,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,1-Apr-18,2016,TV-14,104 min,"Dramas, Independent Movies, International Movies",The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
Movie,A Boy Called Po,John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George",United States,15-Jan-18,2016,PG,94 min,"Dramas, Sci-Fi & Fantasy","After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying."
TV Show,A Boy Name Flora A,,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,1-Sep-17,2017,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.
Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","France, South Korea, Japan",20-Dec-16,2016,TV-Y7,22 min,Movies,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.
Movie,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",1-Jan-20,2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie,A Cinderella Story: Christmas Wish,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson",United States,1-Dec-19,2019,PG,86 min,"Children & Family Movies, Comedies, Music & Musicals","Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle."
Movie,A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, Adrienne Corri, Paul Farrell, Miriam Karlin, James Marcus","United Kingdom, United States",1-Nov-20,1971,R,137 min,"Classic Movies, Cult Movies, Dramas","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy."
Movie,A Dangerous Woman,Stephen Gyllenhaal,"Debra Winger, Barbara Hershey, Gabriel Byrne, Laurie Metcalf, John Terry, Maggie Gyllenhaal, Jake Gyllenhaal, Chloe Webb, David Strathairn",United States,1-Apr-18,1993,R,101 min,"Dramas, Romantic Movies","At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners."
Movie,A Fairly Odd Summer,Savage Steve Holland,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings",United States,2-Nov-19,2014,TV-Y7,68 min,"Children & Family Movies, Comedies","In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands."
Movie,A Fall from Grace,Tyler Perry,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry",United States,17-Jan-20,2020,TV-MA,121 min,"Dramas, Thrillers","When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry."
Movie,A Family Affair,Tom Fassaert,Tom Fassaert,"Netherlands, Denmark, South Africa",16-Oct-16,2015,TV-PG,111 min,"Documentaries, International Movies",The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.
Movie,A Family Man,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States",15-Dec-19,2016,R,110 min,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
Movie,A Family Reunion Christmas,Robbie Countryman,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree",United States,9-Dec-19,2019,TV-PG,29 min,Movies,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
Movie,A Flying Jatt,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh, Gaurav Pandey, Shraddha Kapoor, Amrita Puri",India,15-Nov-17,2016,TV-14,142 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
Movie,A Fortunate Man,Bille August,"Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sarah Viktoria Bjerregaard, Anders Hove, Jens Albinus",Denmark,20-Apr-19,2018,TV-MA,168 min,"Dramas, International Movies","A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin."
Movie,A Futile and Stupid Gesture,David Wain,"Will Forte, Domhnall Gleeson, Martin Mull, Joel McHale, Matt Lucas, Thomas Lennon, Seth Green, Jackie Tohn, Natasha Lyonne, Emmy Rossum, Elvy Yost, Matt Walsh, John Gemberling, Rick Glassman, Camille Guaty",United States,26-Jan-18,2018,TV-MA,102 min,Comedies,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s."
Movie,A Mighty Team,Thomas Sorriaux,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,15-Oct-16,2016,TV-MA,97 min,"Comedies, International Movies, Sports Movies","When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth."
Movie,A Mission in an Old Movie,Ahmad El-Badri,"Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed",,25-Apr-19,2012,TV-MA,98 min,"Comedies, International Movies",A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.
Movie,A Monster Calls,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim","United Kingdom, Spain, United States",16-Jan-21,2016,PG-13,108 min,"Dramas, Sci-Fi & Fantasy","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster."
Movie,A Most Violent Year,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola","United Arab Emirates, United States",22-Jul-18,2014,R,125 min,"Dramas, Thrillers",Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.
Movie,A Murder in the Park,"Christopher S. Rech, Brandon Kimber",,United States,28-Apr-17,2014,PG-13,91 min,Documentaries,"This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999."
Movie,A new Capitalism,,,Brazil,12-Jun-18,2017,TV-14,76 min,"Documentaries, International Movies","Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality."
Movie,A New York Christmas Wedding,Otoja Abit,"Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino",United States,5-Nov-20,2020,TV-MA,90 min,"Dramas, LGBTQ Movies, Romantic Movies","As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend."
Movie,Barbie in A Mermaid Tale,Adam Wood,"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel, Nakia Burrise, Maryke Hendrikse, Emma Pierson, Ciara Janson, Garry Chalk, Nicole Oliver",United States,1-Oct-17,2010,TV-Y,74 min,Children & Family Movies,"Surf champ Merliah discovers she's actually a mermaid in a girl's body. With the help of a dolphin, Merliah must rescue her mom, the Queen of Oceana."
Movie,Barbie in Princess Power,Zeke Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",United States,1-Oct-17,2015,TV-Y,74 min,Children & Family Movies,"A princess with a predictable life finds herself transformed by a magical butterfly's kiss into Super Sparkle, a crime-fighting superhero."
Movie,Barbie in Rock 'N Royals,Karen J. Lloyd,"Kelly Sheridan, Chiara Zanni, Bethany Brown, Devyn Dalton, Michael Dobson, Brynna Drummond, Rachel Harrison, Alessandro Juliani, Peter Kelamis, Omari Newton, Ingrid Nilson, Nicole Oliver, Shaun Smyth, Kira Tozer",United States,1-Oct-17,2015,TV-Y,83 min,Children & Family Movies,"When royal Princess Courtney trades places with famous rock star Erika, two worlds collide while both learn to appreciate new friends and experiences."
TV Show,Barbie Life in the Dreamhouse,,"Kate Higgins, Sean Hankinson, Haviland Stillwell, Paula Rhodes, Charlie Bodin, Laura Gerow, Katie Crown, Nakia Burrise, Tara Sands, Ashlyn Selich","United States, Canada",1-Jul-17,2012,TV-Y,1 Season,"Kids' TV, TV Comedies",Join blond icon Barbie and her fabulous friends as their behind-the-scenes adventures are revealed in this animated Web series.
Movie,Batman: The Killing Joke,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",United States,15-Oct-20,2016,R,77 min,Action & Adventure,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.
Movie,Battle,Katarina Launing,"Lisa Teige, Fabian Svegaard Tapia, Vebjørn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster","Norway, Denmark, Netherlands, Sweden",1-Dec-18,2018,TV-MA,98 min,"Dramas, International Movies, Romantic Movies","After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael."
Movie,The Women's Balcony,Emil Ben-Shimon,"Evelin Hagoel, Igal Naor, Orna Banay, Einat Sarouf, Avraham Aviv Alush, Itzik Cohen, Yafit Asulin, Sharona Elimelech, Herzl Tobey, Haim Znati",Israel,19-Dec-17,2016,TV-PG,100 min,"Comedies, Dramas, Faith & Spirituality","A conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation."
TV Show,The Woods,,"Grzegorz Damięcki, Agnieszka Grochowska, Hubert Miłkowski, Wiktoria Filus, Jacek Koman, Krzysztof Zarzecki, Ewa Skibińska, Martyna Byczkowska, Roman Gancarczyk, Adam Wietrzyński","Poland, United States",12-Jun-20,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.
Movie,The Workshop,Laurent Cantet,"Marina Foïs, Matthieu Lucci, Warda Rammach, Issam Talbi, Florian Beaujean, Mamadou Doumbia, Julien Souve, Mélissa Guilbert, Olivier Thouret, Lény Sellam",France,10-Nov-18,2017,TV-MA,114 min,"Dramas, International Movies","In an old shipyard town in France, sociopolitical tensions beset a writing workshop where the instructor notices a student with a dark side."
Movie,The World Is Not Enough,Michael Apted,"Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards, Robbie Coltrane, Judi Dench, Desmond Llewelyn, John Cleese, Maria Grazia Cucinotta","United Kingdom, United States",31-Dec-19,1999,PG-13,128 min,Action & Adventure,"Greed, revenge, world domination: It's all in a day's work for James Bond, who's on a mission to protect an oil heiress from a notorious terrorist."
Movie,The World Is Yours,Romain Gavras,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",France,30-Nov-18,2018,TV-MA,101 min,"Action & Adventure, Comedies, International Movies","To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother."
Movie,The World We Make,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,4-Sep-19,2019,PG,108 min,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
TV Show,The World's Most Extraordinary Homes,,"Piers Taylor, Caroline Quentin",United Kingdom,18-Jan-19,2019,TV-G,3 Seasons,"British TV Shows, Docuseries, International TV Shows",Award-winning architect Piers Taylor and actress/property enthusiast Caroline Quentin travel the world to tour unconventional homes in extreme places.
Movie,The World's Most Wanted Animal,Victoria Bromley,Maria Diekmann,United Kingdom,1-Apr-19,2018,TV-PG,53 min,Documentaries,"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction."
TV Show,The Worst Witch,,"Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim","United Kingdom, Germany",1-Oct-20,2020,TV-G,4 Seasons,"British TV Shows, Kids' TV","After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books."
Movie,The Worthy,Ali F. Mostafa,"Ali Suliman, Mahmoud Al Atrash, Samer al Masri, Rakeen Saad, Habib Ghuloom, Samer Ismail, Salah Hanoun, Maisa Abd Elhadi, Mohammad Al Ibrahimi, Nabeel Ahmad Alkoni","United Arab Emirates, Romania",1-Dec-17,2016,TV-MA,99 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In the near future, with civilization a thing of the past, a man puts his family in peril when he reluctantly lets outsiders into his compound."
TV Show,The Writer,,"Bassel Khayyat, Daniella Rahme, Nada Abou Farhat, Nicolas Daniel, Gabriel Yammine",Lebanon,7-May-19,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When accused of a murder eerily parallel to a plot in his novel, a best-selling crime writer must navigate a web of hidden enemies."
Movie,The Wrong Babysitter,George Mendeluk,"Daphne Zuniga, Seann Gallagher, Lisa Marie Caruk, Matt Bellefleur, Ava Hughes, Britt Irvin, Lochlyn Munro",Canada,18-Jun-19,2017,TV-14,89 min,Thrillers,"A widow searches for her missing teenage daughter, not knowing that her seemingly helpful neighbor is hiding a terrible secret."
Movie,The Wrong Missy,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler, Sarah Chalke, Rob Schneider, Chris Witaske, Joe Anoa'i, Molly Sims",United States,13-May-20,2020,TV-MA,90 min,"Comedies, Romantic Movies","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
TV Show,The Yard,,"Demet Evgar, Ceren Moray, Nursel Köse, Kenan Ece, Teoman Kumbaracıbaşı, Çağdaş Onur Öztürk, Deniz Barut, Onuryay Evrentan, Görkem Mertsöz, Mert Tanık, Ayça Damgacı",Turkey,15-Nov-19,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas","After a fateful domestic clash, a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter."
TV Show,The Year of Happiness and Love,,"Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu",Taiwan,1-Sep-16,2009,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune."
Movie,The Young Messiah,Cyrus Nowrasteh,"Adam Greaves-Neal, Sara Lazzaro, Vincent Walsh, Sean Bean, Jonathan Bailey, Agni Scott",United States,27-Aug-20,2016,PG-13,111 min,"Dramas, Faith & Spirituality","Tormented by a demon and on the run from a Roman centurion, a 7-year-old Jesus and his parents, Mary and Joseph, flee Egypt for Nazareth."
